Feature,Mean,Standard Deviation
Feature 363,1.2515241368501764e-16,1.0
Feature 364,3.585137237587849e-15,0.9999999999999999
Feature 365,-1.9065557213790187e-15,1.0
Feature 366,-4.533747115105639e-15,0.9999999999999997
Feature 367,1.4380416049872028e-14,0.9999999999999993
Feature 368,-3.9483567930305566e-15,1.0
Feature 369,5.752973854875811e-15,0.9999999999999998
Feature 370,1.1071951436489061e-15,1.0000000000000002
Feature 371,7.428401328401047e-16,1.0000000000000002
Feature 372,4.0038679442618144e-15,1.0
Feature 373,1.888388435521516e-15,1.0
Feature 374,3.340762010462971e-15,1.0000000000000002
Feature 375,2.1518140804553033e-14,1.0
Feature 376,2.4747880512553488e-15,0.9999999999999997
Feature 377,-9.700826001076993e-15,1.0
Feature 378,2.1467676121615526e-15,1.0000000000000002
Feature 379,-1.2725174449521795e-14,0.9999999999999999
Feature 380,-4.435246362096992e-15,1.0000000000000002
Feature 381,-1.9761969838327787e-15,1.0000000000000002
Feature 382,3.1590891518879453e-15,1.0
Feature 383,2.3153196531728266e-15,0.9999999999999998
Feature 384,7.892676411426113e-16,1.0
Feature 385,1.7340674350986195e-14,0.9999999999999996
Feature 386,-8.594135504257461e-15,1.0000000000000002
Feature 387,3.8090742681230374e-15,1.0
Feature 388,-3.630933937353637e-15,0.9999999999999999
Feature 389,9.28752024781881e-15,0.9999999999999997
Feature 390,2.3213754151253272e-17,0.9999999999999999
Feature 391,3.637494346135513e-15,1.0
Feature 392,-1.0474449590508977e-14,0.9999999999999999
Feature 393,-5.801419950495818e-15,1.0
Feature 394,-1.0373520224633963e-14,1.0000000000000004
Feature 395,-5.945748943697088e-15,1.0
Feature 396,1.9724121326124656e-15,1.0
Feature 397,1.8318679906315082e-16,0.9999999999999999
Feature 398,-2.2507248590128174e-16,1.0
Feature 399,-4.880944133715688e-15,1.0000000000000002
Feature 400,-5.714620695843306e-15,0.9999999999999999
Feature 401,2.5625965995666113e-15,0.9999999999999999
Feature 402,8.478066733501196e-16,1.0
Feature 403,-4.237267102847785e-15,1.0000000000000002
Feature 404,-4.2894980496881045e-15,1.0
Feature 405,5.379535201138259e-16,0.9999999999999994
Feature 406,8.94133252286751e-15,1.0
Feature 407,-3.3508549470504724e-16,1.0000000000000004
Feature 408,1.0688419846164006e-14,1.0
Feature 409,1.4604479242114559e-15,1.0000000000000002
Feature 410,-1.6390929018102311e-15,0.9999999999999998
Feature 411,6.374698748665899e-15,0.9999999999999999
Feature 412,3.185330787015449e-15,1.0
Feature 413,1.0724754417879012e-14,1.0000000000000002
Feature 414,-2.7250928786253844e-15,1.0
Feature 415,-9.462128050782585e-15,1.0000000000000002
Feature 416,1.1615456071726013e-14,1.0
Feature 417,9.052859472159402e-15,1.0
Feature 418,1.5845910442377235e-15,1.0
Feature 419,-1.3302490422326876e-15,0.9999999999999998
Feature 420,-9.971821348451407e-16,1.0
Feature 421,-1.5946839808252248e-15,1.0
Feature 422,-1.5442192978877177e-16,1.0
Feature 423,-4.644769417568155e-15,1.0
Feature 424,3.68594044175552e-15,1.0000000000000002
Feature 425,-3.007695103075424e-16,0.9999999999999997
Feature 426,3.918077983268052e-15,1.0
Feature 427,4.3601486058006148e-16,0.9999999999999999
Feature 428,2.672609608370377e-15,1.0
Feature 429,1.938979280166367e-15,0.9999999999999997
Feature 430,1.7042428074825528e-14,1.0
Feature 431,-5.250850259647615e-16,0.9999999999999997
Feature 432,2.531308496145357e-15,1.0000000000000002
Feature 433,6.499851162350916e-16,0.9999999999999998
Feature 434,5.014170896670707e-15,1.0000000000000002
Feature 435,-1.2747378910014298e-15,1.0000000000000002
Feature 436,-5.115100262545721e-15,0.9999999999999997
Feature 437,-1.312081756375185e-16,0.9999999999999997
Feature 438,-3.626392115889261e-15,1.0000000000000002
Feature 439,2.149795493137803e-15,0.9999999999999998
Feature 440,-4.738633727831919e-16,0.9999999999999996
Feature 441,-2.1861300648528083e-15,1.0
Feature 442,-9.28752024781881e-15,0.9999999999999997
Feature 443,6.662852088239065e-15,1.0
Feature 444,7.0453743849053686e-15,1.0
Feature 445,1.4513642812827046e-15,0.9999999999999999
Feature 446,1.2677989970975226e-15,0.9999999999999998
Feature 447,-3.3478270660742222e-15,1.0
Feature 448,-1.106993284917156e-14,0.9999999999999999
Feature 449,3.764665347138031e-16,0.9999999999999999
Feature 450,-3.976617015475561e-15,1.0
Feature 451,-3.7192471324942744e-15,0.9999999999999997
Feature 452,1.5517890003283437e-15,0.9999999999999999
Feature 453,-3.2539627558104588e-15,0.9999999999999998
Feature 454,-4.841581681024433e-15,0.9999999999999999
Feature 455,5.500650440188275e-16,1.0
Feature 456,-1.326211867597687e-15,1.0000000000000002
Feature 457,-3.658689512969266e-16,0.9999999999999996
Feature 458,1.198839007863419e-14,0.9999999999999998
Feature 459,1.2390088954816746e-14,0.9999999999999998
Feature 460,-3.691188768781021e-14,0.9999999999999999
Feature 461,-1.2992763430797926e-15,0.9999999999999997
Feature 462,-6.936875316589728e-15,1.0000000000000002
Feature 463,3.835315903250541e-16,1.0000000000000007
Feature 464,1.0900371514501537e-16,0.9999999999999999
Feature 465,2.842675589869776e-15,1.0000000000000002
Feature 466,1.3322676295501878e-16,0.9999999999999997
Feature 467,2.5191969722403553e-15,1.0
Feature 468,-7.741282362613592e-15,0.9999999999999998
Feature 469,7.168508211272886e-16,1.0000000000000002
Feature 470,3.5084309195228385e-15,1.0
Feature 471,1.1526133582926624e-15,1.0
Feature 472,1.7571802598839978e-15,0.9999999999999998
Feature 473,2.3667936297690835e-15,1.0000000000000007
Feature 474,1.4484365411616584e-14,0.9999999999999998
Feature 475,3.4199915626748572e-15,0.9999999999999998
Feature 476,6.661338147750939e-16,1.0
Feature 477,-1.3512423503346905e-14,1.0
